category1,category2,total_cooccurrence
communication,creation_nature,746
creation_nature,divine_attributes,713
communication,divine_attributes,680
divine_attributes,divine_attributes,494
creation_nature,worship_ritual,381
creation_nature,social_justice,356
divine_attributes,worship_ritual,356
communication,worship_ritual,354
books_revelation,divine_attributes,338
creation_nature,natural_elements,329
divine_attributes,social_justice,306
creation_nature,faith_belief,304
communication,social_justice,300
communication,faith_belief,291
books_revelation,communication,285
divine_attributes,natural_elements,283
books_revelation,creation_nature,276
divine_attributes,faith_belief,235
creation_nature,moral_conduct,230
creation_nature,family_relations,207
communication,communication,201
creation_nature,creation_nature,194
creation_nature,time_temporal,187
communication,family_relations,183
communication,natural_elements,179
communication,time_temporal,177
communication,moral_conduct,168
books_revelation,worship_ritual,166
divine_attributes,family_relations,158
divine_attributes,time_temporal,153
books_revelation,social_justice,146
social_justice,worship_ritual,144
creation_nature,movement_direction,143
faith_belief,worship_ritual,139
divine_attributes,movement_direction,138
books_revelation,faith_belief,132
communication,movement_direction,130
worship_ritual,worship_ritual,126
faith_belief,social_justice,126
communication,emotions_states,123
divine_attributes,moral_conduct,122
commerce_economics,divine_attributes,115
divine_attributes,emotions_states,112
books_revelation,natural_elements,111
natural_elements,time_temporal,110
commerce_economics,creation_nature,107
faith_belief,natural_elements,106
natural_elements,worship_ritual,106
creation_nature,emotions_states,102
natural_elements,social_justice,101
books_revelation,books_revelation,100
time_temporal,worship_ritual,97
family_relations,worship_ritual,97
family_relations,social_justice,91
books_revelation,family_relations,87
moral_conduct,worship_ritual,82
moral_conduct,social_justice,78
emotions_states,social_justice,78
faith_belief,moral_conduct,75
movement_direction,social_justice,73
commerce_economics,worship_ritual,72
emotions_states,worship_ritual,71
books_revelation,moral_conduct,70
social_justice,social_justice,68
commerce_economics,communication,67
faith_belief,time_temporal,66
social_justice,time_temporal,65
movement_direction,worship_ritual,65
natural_elements,natural_elements,62
faith_belief,family_relations,62
commerce_economics,social_justice,59
commerce_economics,faith_belief,59
creation_nature,knowledge_wisdom,56
books_revelation,time_temporal,54
commerce_economics,time_temporal,50
movement_direction,natural_elements,48
faith_belief,movement_direction,48
emotions_states,faith_belief,47
emotions_states,time_temporal,43
communication,knowledge_wisdom,43
family_relations,movement_direction,41
moral_conduct,movement_direction,37
family_relations,time_temporal,37
family_relations,natural_elements,37
commerce_economics,emotions_states,36
family_relations,moral_conduct,36
emotions_states,movement_direction,34
commerce_economics,natural_elements,34
books_revelation,commerce_economics,33
moral_conduct,time_temporal,33
emotions_states,emotions_states,31
divine_attributes,knowledge_wisdom,31
emotions_states,moral_conduct,30
faith_belief,faith_belief,30
books_revelation,emotions_states,30
emotions_states,family_relations,30
movement_direction,time_temporal,28
knowledge_wisdom,natural_elements,28
commerce_economics,family_relations,27
family_relations,family_relations,26
moral_conduct,natural_elements,26
books_revelation,knowledge_wisdom,26
commerce_economics,moral_conduct,26
books_revelation,movement_direction,24
commerce_economics,movement_direction,22
emotions_states,natural_elements,19
knowledge_wisdom,worship_ritual,19
knowledge_wisdom,time_temporal,19
faith_belief,knowledge_wisdom,17
moral_conduct,moral_conduct,15
time_temporal,time_temporal,15
commerce_economics,commerce_economics,14
knowledge_wisdom,moral_conduct,10
family_relations,knowledge_wisdom,10
movement_direction,movement_direction,8
knowledge_wisdom,social_justice,8
emotions_states,knowledge_wisdom,8
knowledge_wisdom,movement_direction,7
commerce_economics,knowledge_wisdom,3
knowledge_wisdom,knowledge_wisdom,1
