root,total_frequency,meccan_frequency,medinan_frequency,meccan_ratio,medinan_ratio,semantic_category,root_arabic
Alh,2851,1092,1759,0.38302350052613116,0.6169764994738688,uncategorized,اله
qwl,1722,1248,474,0.7247386759581882,0.27526132404181186,communication,قول
kwn,1390,920,470,0.6618705035971223,0.3381294964028777,creation_nature,كون
rbb,980,762,218,0.7775510204081633,0.22244897959183674,uncategorized,ربب
Amn,879,379,500,0.4311717861205916,0.5688282138794084,uncategorized,امن
Elm,854,495,359,0.5796252927400468,0.4203747072599532,divine_attributes,علم
qwm,660,454,206,0.6878787878787879,0.31212121212121213,uncategorized,قوم
Aty,549,339,210,0.6174863387978142,0.3825136612021858,uncategorized,اتي
kfr,525,233,292,0.4438095238095238,0.5561904761904762,faith_belief,كفر
byn,523,304,219,0.5812619502868069,0.4187380497131931,uncategorized,بين
$yA,519,312,207,0.6011560693641619,0.3988439306358382,uncategorized,شيا
rsl,513,276,237,0.5380116959064327,0.4619883040935672,uncategorized,رسل
ArD,461,326,135,0.7071583514099783,0.2928416485900217,uncategorized,ارض
ywm,405,293,112,0.7234567901234568,0.2765432098765432,time_temporal,يوم
Ayy,382,289,93,0.756544502617801,0.24345549738219896,uncategorized,ايي
smw,381,268,113,0.7034120734908137,0.29658792650918636,natural_elements,سمو
kll,377,242,135,0.6419098143236074,0.35809018567639256,uncategorized,كلل
E*b,373,232,141,0.6219839142091153,0.3780160857908847,uncategorized,عذب
Eml,360,220,140,0.6111111111111112,0.3888888888888889,uncategorized,عمل
jEl,346,268,78,0.7745664739884393,0.2254335260115607,creation_nature,جعل
rHm,339,226,113,0.6666666666666666,0.3333333333333333,divine_attributes,رحم
rAy,328,242,86,0.7378048780487805,0.2621951219512195,uncategorized,راي
ktb,319,155,164,0.48589341692789967,0.5141065830721003,books_revelation,كتب
hdy,316,206,110,0.6518987341772152,0.34810126582278483,uncategorized,هدي
Zlm,315,211,104,0.6698412698412698,0.33015873015873015,social_justice,ظلم
nfs,298,163,135,0.5469798657718121,0.45302013422818793,uncategorized,نفس
qbl,294,185,109,0.6292517006802721,0.3707482993197279,uncategorized,قبل
nzl,293,165,128,0.5631399317406144,0.43686006825938567,books_revelation,نزل
*kr,292,216,76,0.7397260273972602,0.2602739726027397,worship_ritual,ذكر
Hqq,287,192,95,0.6689895470383276,0.3310104529616725,social_justice,حقق
k*b,282,211,71,0.74822695035461,0.25177304964539005,moral_conduct,كذب
jyA,278,208,70,0.7482014388489209,0.2517985611510791,uncategorized,جيا
Ebd,275,227,48,0.8254545454545454,0.17454545454545456,worship_ritual,عبد
Ax*,273,171,102,0.6263736263736264,0.37362637362637363,uncategorized,اخذ
xlq,261,215,46,0.8237547892720306,0.17624521072796934,creation_nature,خلق
wqy,258,116,142,0.4496124031007752,0.5503875968992248,uncategorized,وقي
Axr,250,153,97,0.612,0.388,uncategorized,اخر
Amr,248,153,95,0.6169354838709677,0.38306451612903225,uncategorized,امر
nws,241,119,122,0.49377593360995853,0.5062240663900415,uncategorized,نوس
bEd,235,130,105,0.5531914893617021,0.44680851063829785,uncategorized,بعد
gfr,234,99,135,0.4230769230769231,0.5769230769230769,divine_attributes,غفر
wly,232,100,132,0.43103448275862066,0.5689655172413793,uncategorized,ولي
dEw,212,167,45,0.7877358490566038,0.21226415094339623,worship_ritual,دعو
Hkm,210,93,117,0.44285714285714284,0.5571428571428572,divine_attributes,حكم
mlk,206,122,84,0.5922330097087378,0.4077669902912621,uncategorized,ملك
End,201,109,92,0.5422885572139303,0.4577114427860697,uncategorized,عند
jnn,201,137,64,0.681592039800995,0.31840796019900497,uncategorized,جنن
xyr,196,103,93,0.5255102040816326,0.4744897959183674,uncategorized,خير
nwr,194,97,97,0.5,0.5,natural_elements,نور
Hsn,194,121,73,0.6237113402061856,0.37628865979381443,uncategorized,حسن
Dll,191,141,50,0.7382198952879581,0.2617801047120419,uncategorized,ضلل
smE,185,115,70,0.6216216216216216,0.3783783783783784,uncategorized,سمع
Hyy,184,122,62,0.6630434782608695,0.33695652173913043,uncategorized,حيي
bny,184,101,83,0.5489130434782609,0.45108695652173914,uncategorized,بني
xrj,182,102,80,0.5604395604395604,0.43956043956043955,creation_nature,خرج
SlH,180,113,67,0.6277777777777778,0.37222222222222223,social_justice,صلح
sbl,176,75,101,0.42613636363636365,0.5738636363636364,uncategorized,سبل
tbE,172,112,60,0.6511627906976745,0.3488372093023256,uncategorized,تبع
Awl,170,118,52,0.6941176470588235,0.3058823529411765,uncategorized,اول
qtl,170,37,133,0.21764705882352942,0.7823529411764706,uncategorized,قتل
mvl,169,103,66,0.6094674556213018,0.3905325443786982,uncategorized,مثل
qlb,168,58,110,0.34523809523809523,0.6547619047619048,uncategorized,قلب
$rk,168,117,51,0.6964285714285714,0.30357142857142855,faith_belief,شرك
swA,167,111,56,0.6646706586826348,0.33532934131736525,uncategorized,سوا
kvr,167,103,64,0.6167664670658682,0.38323353293413176,uncategorized,كثر
mwt,165,99,66,0.6,0.4,uncategorized,موت
kbr,161,123,38,0.7639751552795031,0.2360248447204969,uncategorized,كبر
$hd,160,72,88,0.45,0.55,uncategorized,شهد
nbA,160,71,89,0.44375,0.55625,uncategorized,نبا
nSr,158,66,92,0.4177215189873418,0.5822784810126582,uncategorized,نصر
