sura,books_revelation,commerce_economics,communication,creation_nature,divine_attributes,emotions_states,faith_belief,family_relations,knowledge_wisdom,moral_conduct,movement_direction,natural_elements,social_justice,time_temporal,uncategorized,worship_ritual
1,0,1,0,0,6,1,0,0,0,0,0,1,0,1,12,1
2,84,55,167,124,183,41,60,38,10,35,26,43,82,32,2804,100
3,59,15,96,74,91,32,50,20,4,24,22,24,35,21,1672,35
4,46,25,59,147,102,16,47,47,3,16,16,13,45,10,1840,30
5,47,10,73,56,78,25,34,16,3,21,15,16,35,15,1329,25
6,46,12,105,101,82,15,41,14,7,31,8,28,47,15,1358,36
7,24,4,133,115,62,14,16,16,6,27,14,26,55,20,1560,52
8,7,9,12,32,40,5,17,3,6,2,8,3,15,3,631,10
9,14,34,44,57,71,29,44,13,9,13,7,10,17,12,1243,29
10,18,6,61,68,32,8,22,2,6,20,7,15,44,12,787,21
11,13,0,71,38,44,7,12,12,2,7,9,15,30,20,860,22
12,14,2,84,44,64,7,7,10,5,16,25,6,8,4,818,12
13,15,4,21,13,21,5,15,4,3,0,6,13,9,2,422,10
14,4,4,22,19,18,3,12,2,0,3,5,16,12,8,411,17
15,10,2,33,29,20,1,3,3,2,3,2,6,5,7,272,12
16,16,3,26,63,56,7,22,5,5,14,13,16,20,12,889,17
17,20,2,58,77,38,3,12,9,3,13,6,10,15,12,735,30
18,12,3,79,57,26,0,17,7,3,3,14,12,23,9,769,23
19,12,0,45,59,29,5,5,12,0,6,3,7,7,14,420,33
20,12,0,62,21,22,16,1,8,1,3,12,10,6,9,637,17
21,13,0,42,50,41,5,7,8,4,6,10,12,24,6,458,30
22,10,4,12,22,31,2,14,3,1,5,9,21,18,10,636,28
23,13,1,42,37,19,1,5,4,2,9,6,4,16,8,457,13
24,9,6,18,23,49,7,7,3,1,10,9,16,9,7,664,21
25,10,1,32,47,21,0,7,2,1,7,4,9,10,10,428,19
26,11,2,60,50,50,4,3,8,1,17,1,5,10,11,574,14
27,7,0,54,41,35,7,11,6,2,13,10,13,15,3,507,13
28,12,1,59,57,29,16,11,9,2,5,7,4,22,14,622,12
29,18,2,29,30,35,2,12,7,3,11,6,11,16,5,426,14
30,4,8,7,38,25,7,19,2,6,4,5,9,12,8,367,7
31,6,2,13,10,20,3,8,7,0,6,4,10,6,3,248,6
32,4,1,9,21,8,1,4,0,1,3,4,4,5,5,162,5
33,8,9,28,49,31,4,9,15,1,10,9,5,8,3,673,19
34,7,1,43,22,27,2,15,6,1,10,4,9,12,6,372,7
35,9,3,13,26,23,1,14,3,0,8,8,15,10,3,354,17
36,6,2,30,32,31,2,3,3,2,7,6,8,4,7,287,8
37,6,2,34,32,16,0,3,4,2,7,3,3,7,7,395,20
38,4,1,29,16,23,4,8,3,1,4,4,9,10,7,321,24
39,14,9,35,31,39,6,13,5,2,12,5,17,14,11,530,28
40,5,5,35,34,31,5,19,1,3,9,10,13,16,16,555,31
41,12,2,33,23,23,3,17,0,0,0,4,12,7,11,337,13
42,16,7,15,13,31,4,5,6,0,3,3,9,18,3,370,14
43,8,0,26,34,26,2,5,3,1,1,7,5,9,4,366,15
44,2,0,3,11,11,0,2,1,0,1,0,4,1,7,173,6
45,10,3,9,16,18,0,8,0,2,2,2,8,9,10,220,3
46,9,0,31,22,11,4,9,4,0,6,4,6,12,7,272,8
47,5,1,7,8,11,1,11,0,3,1,4,2,7,0,285,4
48,3,7,14,18,24,4,15,5,2,1,4,3,4,0,294,6
49,0,1,11,7,16,3,3,0,1,2,2,3,7,1,176,1
50,4,0,13,13,7,2,2,3,1,3,3,4,5,10,168,7
51,0,2,17,12,4,3,2,3,0,1,1,5,3,4,168,4
52,2,1,6,9,7,0,3,2,1,4,5,7,1,5,147,2
53,6,0,4,3,9,1,3,1,0,1,0,7,2,0,169,7
54,0,0,20,8,10,0,3,1,1,12,1,3,0,5,172,16
55,0,0,0,5,4,2,0,2,0,32,0,10,1,1,198,1
56,6,2,4,20,8,0,1,5,0,7,1,5,1,3,190,2
57,11,11,6,12,23,4,3,2,1,4,2,14,4,7,283,3
58,3,0,11,7,8,4,2,4,0,5,1,2,0,4,242,4
59,4,1,5,14,16,3,7,5,4,4,0,7,1,0,215,0
60,0,8,2,12,20,4,9,4,0,1,2,0,4,2,146,1
61,0,3,9,2,6,2,3,1,0,2,1,4,3,1,107,1
62,2,3,4,4,11,0,0,0,0,2,0,1,2,1,82,5
63,0,6,8,3,8,0,1,2,2,2,1,1,1,0,81,1
64,1,3,5,3,15,0,6,3,0,2,1,5,2,3,122,0
65,4,3,2,13,5,0,1,0,0,0,1,2,5,1,164,1
66,1,1,7,3,7,1,4,4,1,2,3,4,3,2,125,3
67,1,0,17,13,14,0,4,0,1,4,2,4,0,2,145,1
68,3,0,10,11,11,0,3,0,0,3,2,0,2,6,134,6
69,5,1,7,3,5,1,3,0,0,2,0,3,4,4,127,3
70,2,1,0,7,4,0,2,2,1,1,3,2,1,6,106,4
71,0,0,8,13,6,0,2,3,0,1,2,7,2,1,102,6
72,1,0,10,10,3,2,6,2,0,1,1,2,3,0,131,6
73,0,2,3,6,8,0,1,1,0,1,1,4,2,6,103,4
74,2,2,10,9,6,1,5,3,3,1,2,2,0,4,106,6
75,0,0,3,4,2,1,2,2,1,3,1,3,0,2,80,2
76,2,0,1,11,7,4,4,1,0,6,3,3,1,7,120,5
77,0,0,3,7,4,0,0,0,2,11,0,3,0,6,76,3
78,2,0,4,13,4,1,1,2,0,3,1,4,1,8,87,0
79,0,0,7,4,4,1,0,0,2,1,1,2,0,4,93,3
80,0,0,1,2,1,1,2,0,0,2,0,0,0,1,72,6
81,0,0,2,0,3,0,0,2,0,0,2,4,0,2,50,1
82,2,4,0,2,2,0,0,0,0,4,0,1,1,4,30,0
83,6,2,3,4,1,0,3,3,0,7,0,0,0,4,68,0
84,2,0,1,2,1,0,2,2,0,1,0,2,3,1,50,2
85,1,0,0,0,3,0,1,0,0,1,0,3,1,1,55,0
86,1,0,1,3,1,0,1,0,0,0,2,3,0,1,28,0
87,0,0,0,3,3,0,0,0,0,0,0,3,0,0,34,6
88,0,0,0,1,0,1,1,0,0,0,0,3,0,0,52,2
89,0,0,3,1,1,4,0,1,0,1,3,0,1,2,72,3
90,0,0,1,3,2,0,1,3,0,0,1,1,0,1,39,0
91,1,0,1,0,0,1,0,0,0,3,0,3,0,1,28,1
92,0,0,1,1,0,1,0,0,0,3,0,1,0,1,38,2
93,0,0,0,3,0,1,0,0,0,0,0,0,0,1,23,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
95,0,1,0,1,2,0,0,0,0,1,0,0,1,0,19,0
96,0,0,1,3,4,0,0,1,0,2,1,1,0,0,31,5
97,2,0,0,0,3,0,0,0,0,1,0,0,0,3,12,0
98,5,2,0,1,0,2,4,2,0,0,0,1,1,0,39,3
99,1,0,2,1,0,0,0,0,0,0,0,0,0,0,23,0
100,0,0,1,0,1,1,0,0,0,0,0,0,0,1,20,0
101,0,0,0,2,0,1,0,0,0,0,0,2,0,1,18,0
102,0,0,0,0,4,0,2,0,0,0,0,0,0,0,10,0
103,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,0
104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0
105,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0
106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1
107,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,2
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
109,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,8
110,0,1,0,1,3,0,0,0,0,0,1,0,0,0,10,0
111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0
112,0,0,1,1,0,0,0,2,0,0,0,0,0,0,6,0
113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,0
114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0
